,chosen_arms,rewards
155,16296,0.0
156,18931,0.0
157,33525,0.0
158,16296,0.0
159,17302,0.0
160,16296,0.0
161,16296,0.0
162,16296,0.0
163,20403,0.0
164,20403,0.0
165,20403,17.0
166,20403,0.0
167,3789,0.0
168,20403,0.0
169,23500,0.0
170,20403,0.0
171,20403,0.0
172,20403,17.0
173,1190,0.0
174,20403,0.0
175,20403,0.0
176,20403,0.0
177,23344,0.0
178,20403,0.0
179,16296,0.0
180,20403,0.0
181,20403,0.0
182,20403,17.0
183,20403,0.0
184,20403,17.0
185,6927,0.0
186,20403,0.0
187,20403,0.0
188,20403,17.0
189,20403,0.0
190,20403,0.0
191,20403,0.0
192,19842,0.0
193,20403,17.0
194,20403,0.0
195,20403,0.0
196,20403,0.0
197,20403,0.0
198,13836,0.0
199,20403,0.0
200,18664,0.0
201,20403,17.0
202,20403,17.0
203,29573,0.0
204,20403,0.0
205,20403,0.0
206,20403,17.0
207,24318,0.0
208,20403,0.0
209,20403,0.0
210,20403,17.0
211,20403,0.0
212,20403,0.0
213,20403,0.0
214,20403,0.0
215,20403,0.0
216,20403,0.0
217,17670,0.0
218,20403,0.0
219,13836,33.0
220,13836,0.0
221,24951,0.0
222,13836,0.0
223,13836,33.0
224,13836,0.0
225,13836,33.0
226,13836,0.0
227,13836,0.0
228,13836,0.0
229,13836,0.0
230,27493,0.0
231,13836,0.0
232,13836,0.0
233,13836,0.0
234,13836,0.0
235,13836,0.0
236,6961,0.0
237,20121,11.0
238,20121,0.0
239,13836,0.0
240,20121,11.0
241,20121,0.0
242,20121,0.0
243,13836,0.0
244,13836,0.0
245,13836,0.0
246,13836,0.0
247,20403,0.0
248,13836,0.0
249,20403,0.0
250,17670,11.0
251,17670,11.0
252,17670,11.0
253,18383,0.0
254,17670,11.0
255,17670,11.0
256,17670,0.0
257,17670,0.0
258,17670,11.0
259,17670,0.0
260,17670,0.0
261,17670,0.0
262,24905,0.0
263,17670,11.0
264,17670,0.0
265,17519,0.0
266,17670,11.0
267,22674,0.0
268,21331,0.0
269,12446,4.0
270,17670,11.0
271,17670,0.0
272,17670,0.0
273,17670,0.0
274,17670,11.0
275,17670,11.0
276,29587,4.0
277,17670,0.0
278,17670,0.0
279,17670,11.0
280,35052,0.0
281,17670,11.0
282,17670,11.0
283,17670,11.0
284,17670,11.0
285,6851,0.0
286,17670,0.0
287,17670,0.0
288,16045,0.0
289,17670,0.0
290,23547,0.0
291,17670,0.0
292,17670,0.0
293,17670,0.0
294,17670,11.0
295,17670,0.0
296,17670,0.0
297,17670,0.0
298,17670,0.0
299,30860,0.0
300,17670,11.0
301,17670,0.0
302,17670,11.0
303,17670,11.0
304,17670,0.0
305,17670,0.0
306,17670,0.0
307,20403,0.0
308,34278,0.0
309,17670,11.0
310,17670,0.0
311,17670,11.0
312,17670,0.0
313,17670,0.0
314,13836,33.0
315,13836,33.0
316,13836,0.0
317,13836,0.0
318,9173,0.0
319,13836,0.0
320,25357,0.0
321,13836,0.0
322,13836,0.0
323,13836,0.0
324,13836,0.0
325,13836,0.0
326,13836,0.0
327,13836,0.0
328,13836,0.0
329,13836,0.0
330,17670,0.0
331,20403,0.0
332,13836,0.0
333,16217,0.0
334,20403,17.0
335,11996,0.0
